FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDel15,ArrDelay,ArrDel15,Cancelled,CancellationCode,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2024-01-01,Southwest,N581XX,2678,SEA,CityName,State,SFO,CityName,State,0,0,1,0,0,,357,1137,0,0,0,0,0
2024-01-01,American,N448XX,1777,ORD,CityName,State,SEA,CityName,State,0,0,-11,0,0,,318,360,0,0,0,0,0
2024-01-01,American,N959XX,9565,SEA,CityName,State,MIA,CityName,State,15,1,14,0,0,,186,2368,0,0,0,0,0
2024-01-01,JetBlue,N967XX,2934,BOS,CityName,State,ATL,CityName,State,0,0,-9,0,0,,216,1886,0,0,0,0,0
2024-01-01,United,N189XX,7367,SFO,CityName,State,DEN,CityName,State,0,0,1,0,0,,181,1067,0,0,0,0,0
2024-01-01,JetBlue,N430XX,106,MIA,CityName,State,SFO,CityName,State,120,1,112,1,0,,196,923,0,0,0,0,112
2024-01-01,JetBlue,N267XX,6682,BOS,CityName,State,BOS,CityName,State,0,0,5,0,0,,249,675,0,0,0,0,0
2024-01-01,American,N558XX,9742,SFO,CityName,State,MIA,CityName,State,0,0,-1,0,0,,140,2106,0,0,0,0,0
2024-01-01,JetBlue,N368XX,1024,SFO,CityName,State,DEN,CityName,State,0,0,-14,0,0,,309,2082,0,0,0,0,0
2024-01-01,JetBlue,N632XX,7632,ATL,CityName,State,ORD,CityName,State,15,1,8,0,0,,232,2629,0,0,0,0,0
2024-01-01,Southwest,N844XX,8402,BOS,CityName,State,DFW,CityName,State,0,0,8,0,0,,325,454,0,0,0,0,0
2024-01-01,Southwest,N328XX,5707,SEA,CityName,State,JFK,CityName,State,0,0,-12,0,0,,258,1781,0,0,0,0,0
2024-01-01,JetBlue,N704XX,7060,JFK,CityName,State,DEN,CityName,State,0,0,-11,0,0,,64,1711,0,0,0,0,0
2024-01-01,United,N842XX,7202,SFO,CityName,State,JFK,CityName,State,0,0,-7,0,0,,350,1668,0,0,0,0,0
2024-01-01,Southwest,N500XX,8541,SEA,CityName,State,JFK,CityName,State,60,1,55,1,0,,265,1108,0,55,0,0,0
2024-01-02,United,N543XX,6401,SFO,CityName,State,DFW,CityName,State,0,0,5,0,0,,160,1020,0,0,0,0,0
2024-01-02,United,N608XX,3825,JFK,CityName,State,ORD,CityName,State,0,0,-2,0,0,,296,368,0,0,0,0,0
2024-01-02,United,N154XX,2162,BOS,CityName,State,BOS,CityName,State,0,0,-5,0,0,,264,1922,0,0,0,0,0
