FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDel15,ArrDelay,ArrDel15,Cancelled,CancellationCode,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2024-01-30,American,N477XX,5695,LAX,CityName,State,ORD,CityName,State,0,0,0,0,0,,79,2166,0,0,0,0,0
2024-01-26,United,N984XX,468,ORD,CityName,State,SFO,CityName,State,0,0,0,0,0,,198,1318,0,0,0,0,0
2024-01-18,American,N140XX,4682,ATL,CityName,State,MIA,CityName,State,0,0,0,0,0,,120,376,0,0,0,0,0
2024-01-30,Delta,N980XX,9959,ATL,CityName,State,MIA,CityName,State,0,0,0,0,0,,100,1115,0,0,0,0,0
2024-01-18,American,N162XX,4816,LAX,CityName,State,SFO,CityName,State,0,0,0,0,0,,237,1051,0,0,0,0,0
2024-01-16,JetBlue,N533XX,8603,JFK,CityName,State,LAX,CityName,State,0,0,0,0,0,,186,294,0,0,0,0,0
2024-01-28,Southwest,N276XX,2230,DFW,CityName,State,JFK,CityName,State,120,1,115,1,0,,191,436,120,0,0,0,0
2024-01-04,JetBlue,N378XX,3276,ATL,CityName,State,LAX,CityName,State,15,1,10,1,0,,186,2220,15,0,0,0,0
2024-01-07,Southwest,N616XX,7425,ATL,CityName,State,JFK,CityName,State,60,1,55,1,0,,175,2436,60,0,0,0,0
2024-01-18,JetBlue,N914XX,6139,LAX,CityName,State,MIA,CityName,State,0,0,0,0,0,,114,2485,0,0,0,0,0
2024-01-02,Southwest,N590XX,8535,DFW,CityName,State,SFO,CityName,State,120,1,115,1,0,,210,234,120,0,0,0,0
2024-01-26,Delta,N322XX,6156,ORD,CityName,State,ATL,CityName,State,0,0,0,0,0,,161,2414,0,0,0,0,0
2024-01-24,American,N606XX,4916,SFO,CityName,State,ORD,CityName,State,0,0,0,0,0,,202,2232,0,0,0,0,0
2024-01-28,United,N928XX,1655,SFO,CityName,State,DFW,CityName,State,0,0,0,0,0,,158,1772,0,0,0,0,0
2024-01-26,JetBlue,N771XX,8260,MIA,CityName,State,JFK,CityName,State,0,0,0,0,0,,131,1234,0,0,0,0,0
2024-01-06,United,N186XX,4406,ORD,CityName,State,SFO,CityName,State,0,0,0,0,0,,271,769,0,0,0,0,0
2024-01-06,United,N483XX,9639,DFW,CityName,State,MIA,CityName,State,0,0,0,0,0,,139,2354,0,0,0,0,0
2024-01-29,JetBlue,N818XX,4957,ORD,CityName,State,JFK,CityName,State,0,0,0,0,0,,296,2217,0,0,0,0,0
2024-01-15,JetBlue,N668XX,1961,LAX,CityName,State,MIA,CityName,State,0,0,0,0,0,,215,2204,0,0,0,0,0
2024-01-07,Delta,N300XX,3384,LAX,CityName,State,SFO,CityName,State,0,0,0,0,0,,256,2281,0,0,0,0,0
2024-01-19,Delta,N622XX,950,ATL,CityName,State,ATL,CityName,State,0,0,0,0,0,,291,1148,0,0,0,0,0
2024-01-06,Delta,N289XX,1762,ATL,CityName,State,MIA,CityName,State,0,0,0,0,0,,65,1405,0,0,0,0,0
2024-01-13,JetBlue,N708XX,5292,ATL,CityName,State,LAX,CityName,State,0,0,0,0,0,,85,2196,0,0,0,0,0
2024-01-11,United,N256XX,9433,JFK,CityName,State,MIA,CityName,State,0,0,0,0,0,,178,1717,0,0,0,0,0
2024-01-07,United,N832XX,1171,SFO,CityName,State,ORD,CityName,State,0,0,0,0,0,,64,2267,0,0,0,0,0
2024-01-03,American,N278XX,9183,SFO,CityName,State,ORD,CityName,State,0,0,0,0,0,,208,2404,0,0,0,0,0
2024-01-15,Delta,N393XX,5810,ORD,CityName,State,ORD,CityName,State,60,1,55,1,0,,81,2104,0,0,0,0,60
2024-01-06,American,N869XX,2390,JFK,CityName,State,DFW,CityName,State,0,0,0,0,0,,237,1375,0,0,0,0,0
2024-01-11,JetBlue,N118XX,4450,ORD,CityName,State,DFW,CityName,State,0,0,0,0,0,,230,597,0,0,0,0,0
2024-01-23,Delta,N340XX,4942,JFK,CityName,State,JFK,CityName,State,0,0,0,0,0,,255,2286,0,0,0,0,0
2024-01-25,JetBlue,N892XX,6822,MIA,CityName,State,MIA,CityName,State,30,1,25,1,0,,299,2255,0,0,30,0,0
2024-01-02,Delta,N570XX,6294,JFK,CityName,State,DFW,CityName,State,15,1,10,1,0,,234,774,15,0,0,0,0
2024-01-24,American,N104XX,8070,SFO,CityName,State,LAX,CityName,State,0,0,0,0,0,,76,933,0,0,0,0,0
2024-01-18,Delta,N791XX,6878,ORD,CityName,State,LAX,CityName,State,0,0,0,0,0,,165,1228,0,0,0,0,0
2024-01-27,American,N735XX,4710,MIA,CityName,State,ATL,CityName,State,30,1,25,1,0,,205,2162,0,0,0,0,30
2024-01-30,JetBlue,N614XX,8928,LAX,CityName,State,MIA,CityName,State,0,0,0,0,0,,137,1703,0,0,0,0,0
2024-01-28,United,N658XX,6538,DFW,CityName,State,SFO,CityName,State,15,1,10,1,0,,87,1164,0,0,15,0,0
2024-01-16,JetBlue,N616XX,6111,SFO,CityName,State,JFK,CityName,State,0,0,0,0,0,,249,1770,0,0,0,0,0
2024-01-05,Delta,N239XX,3268,DFW,CityName,State,MIA,CityName,State,0,0,0,0,1,A,88,534,0,0,0,0,0
2024-01-01,Southwest,N818XX,5942,MIA,CityName,State,DFW,CityName,State,15,1,10,1,0,,221,1241,15,0,0,0,0
2024-01-24,Delta,N139XX,3735,LAX,CityName,State,ORD,CityName,State,0,0,0,0,0,,79,1288,0,0,0,0,0
2024-01-17,JetBlue,N355XX,4009,LAX,CityName,State,SFO,CityName,State,0,0,0,0,0,,97,1791,0,0,0,0,0
2024-01-10,Delta,N893XX,8307,MIA,CityName,State,LAX,CityName,State,0,0,0,0,0,,299,878,0,0,0,0,0
2024-01-14,JetBlue,N748XX,591,JFK,CityName,State,JFK,CityName,State,0,0,0,0,0,,74,2392,0,0,0,0,0
2024-01-29,JetBlue,N154XX,2811,LAX,CityName,State,ATL,CityName,State,0,0,0,0,0,,290,2169,0,0,0,0,0
2024-01-07,JetBlue,N421XX,7672,MIA,CityName,State,ORD,CityName,State,0,0,0,0,0,,166,2295,0,0,0,0,0
2024-01-08,American,N575XX,766,JFK,CityName,State,MIA,CityName,State,0,0,0,0,0,,185,2014,0,0,0,0,0
2024-01-16,Southwest,N582XX,2521,LAX,CityName,State,ORD,CityName,State,15,1,10,1,0,,129,1328,15,0,0,0,0
2024-01-09,JetBlue,N677XX,5904,ORD,CityName,State,MIA,CityName,State,0,0,0,0,0,,137,434,0,0,0,0,0
2024-01-24,Southwest,N957XX,2926,MIA,CityName,State,DFW,CityName,State,0,0,0,0,0,,222,1721,0,0,0,0,0
2024-01-10,Southwest,N273XX,4637,LAX,CityName,State,JFK,CityName,State,15,1,10,1,0,,122,1438,0,0,0,0,15
2024-01-18,Southwest,N843XX,9040,MIA,CityName,State,LAX,CityName,State,0,0,0,0,0,,221,651,0,0,0,0,0
2024-01-25,United,N392XX,874,JFK,CityName,State,ORD,CityName,State,15,1,10,1,0,,238,1132,15,0,0,0,0
2024-01-29,Delta,N202XX,2819,JFK,CityName,State,DFW,CityName,State,0,0,0,0,0,,183,637,0,0,0,0,0
2024-01-14,Southwest,N344XX,3334,ATL,CityName,State,SFO,CityName,State,30,1,25,1,0,,292,1656,30,0,0,0,0
2024-01-26,JetBlue,N601XX,7812,JFK,CityName,State,ATL,CityName,State,0,0,0,0,0,,171,1010,0,0,0,0,0
2024-01-08,United,N550XX,758,ORD,CityName,State,DFW,CityName,State,0,0,0,0,0,,148,2126,0,0,0,0,0
2024-01-18,Southwest,N504XX,880,ORD,CityName,State,JFK,CityName,State,0,0,0,0,0,,245,2179,0,0,0,0,0
2024-01-18,Delta,N813XX,2340,MIA,CityName,State,ATL,CityName,State,0,0,0,0,0,,212,1763,0,0,0,0,0
2024-01-12,United,N356XX,394,ATL,CityName,State,MIA,CityName,State,0,0,0,0,0,,114,566,0,0,0,0,0
2024-01-17,Southwest,N645XX,6384,SFO,CityName,State,LAX,CityName,State,0,0,0,0,0,,278,1388,0,0,0,0,0
2024-01-08,Delta,N601XX,6046,MIA,CityName,State,ORD,CityName,State,15,1,10,1,0,,84,2139,15,0,0,0,0
2024-01-24,Southwest,N493XX,7748,ATL,CityName,State,SFO,CityName,State,30,1,25,1,0,,126,942,30,0,0,0,0
2024-01-12,American,N686XX,1215,JFK,CityName,State,MIA,CityName,State,60,1,55,1,0,,170,628,0,60,0,0,0
2024-01-22,Delta,N414XX,7325,JFK,CityName,State,ATL,CityName,State,30,1,25,1,0,,167,691,0,30,0,0,0
2024-01-09,American,N826XX,297,LAX,CityName,State,ATL,CityName,State,0,0,0,0,0,,79,1686,0,0,0,0,0
2024-01-28,United,N348XX,1263,ATL,CityName,State,DFW,CityName,State,0,0,0,0,0,,197,1966,0,0,0,0,0
2024-01-22,United,N147XX,2461,ATL,CityName,State,DFW,CityName,State,120,1,115,1,0,,224,1799,0,0,120,0,0
2024-01-15,Delta,N635XX,6363,ORD,CityName,State,MIA,CityName,State,0,0,0,0,0,,186,1476,0,0,0,0,0
2024-01-25,Southwest,N299XX,5315,LAX,CityName,State,JFK,CityName,State,120,1,115,1,0,,285,576,0,0,0,0,120
2024-01-08,United,N236XX,4498,SFO,CityName,State,SFO,CityName,State,60,1,55,1,0,,81,340,0,0,60,0,0
2024-01-24,United,N784XX,9269,LAX,CityName,State,JFK,CityName,State,0,0,0,0,0,,174,1151,0,0,0,0,0
2024-01-18,United,N496XX,5671,MIA,CityName,State,MIA,CityName,State,0,0,0,0,0,,143,2369,0,0,0,0,0
2024-01-04,JetBlue,N821XX,7219,ORD,CityName,State,MIA,CityName,State,0,0,0,0,0,,253,1969,0,0,0,0,0
2024-01-24,JetBlue,N901XX,7513,LAX,CityName,State,ATL,CityName,State,0,0,0,0,0,,155,1146,0,0,0,0,0
2024-01-29,American,N628XX,9271,MIA,CityName,State,SFO,CityName,State,60,1,55,1,0,,178,2192,0,0,0,0,60
2024-01-25,JetBlue,N817XX,980,JFK,CityName,State,MIA,CityName,State,0,0,0,0,0,,107,898,0,0,0,0,0
2024-01-23,United,N687XX,7398,JFK,CityName,State,SFO,CityName,State,0,0,0,0,0,,60,1740,0,0,0,0,0
2024-01-11,Delta,N476XX,2285,ORD,CityName,State,LAX,CityName,State,0,0,0,0,0,,283,689,0,0,0,0,0
2024-01-03,United,N856XX,7247,MIA,CityName,State,JFK,CityName,State,0,0,0,0,0,,252,1037,0,0,0,0,0
2024-01-12,United,N775XX,7970,ORD,CityName,State,ATL,CityName,State,15,1,10,1,0,,252,1339,15,0,0,0,0
2024-01-20,United,N365XX,5718,DFW,CityName,State,JFK,CityName,State,0,0,0,0,0,,147,2154,0,0,0,0,0
2024-01-27,JetBlue,N665XX,9055,JFK,CityName,State,JFK,CityName,State,0,0,0,0,0,,132,537,0,0,0,0,0
2024-01-08,Delta,N539XX,3166,ORD,CityName,State,ORD,CityName,State,0,0,0,0,0,,114,2407,0,0,0,0,0
2024-01-29,Southwest,N934XX,5954,JFK,CityName,State,ATL,CityName,State,15,1,10,1,0,,108,2311,0,0,0,0,15
2024-01-02,Delta,N118XX,1425,DFW,CityName,State,ATL,CityName,State,30,1,25,1,0,,277,1641,0,0,30,0,0
2024-01-23,American,N604XX,5754,DFW,CityName,State,MIA,CityName,State,0,0,0,0,0,,155,2333,0,0,0,0,0
2024-01-07,JetBlue,N790XX,4945,ATL,CityName,State,ORD,CityName,State,0,0,0,0,0,,63,1241,0,0,0,0,0
2024-01-29,Southwest,N120XX,9879,ATL,CityName,State,JFK,CityName,State,0,0,0,0,1,A,142,265,0,0,0,0,0
2024-01-13,United,N217XX,672,ORD,CityName,State,SFO,CityName,State,0,0,0,0,0,,135,1976,0,0,0,0,0
2024-01-22,Southwest,N715XX,3072,ATL,CityName,State,ATL,CityName,State,0,0,0,0,0,,196,1014,0,0,0,0,0
2024-01-07,Delta,N584XX,1485,DFW,CityName,State,MIA,CityName,State,30,1,25,1,0,,82,292,30,0,0,0,0
2024-01-18,American,N619XX,2093,JFK,CityName,State,LAX,CityName,State,0,0,0,0,0,,163,1270,0,0,0,0,0
2024-01-27,Delta,N400XX,3807,DFW,CityName,State,SFO,CityName,State,0,0,0,0,0,,297,691,0,0,0,0,0
2024-01-16,United,N813XX,8785,DFW,CityName,State,MIA,CityName,State,0,0,0,0,0,,76,1669,0,0,0,0,0
2024-01-12,JetBlue,N122XX,1426,ORD,CityName,State,ORD,CityName,State,0,0,0,0,0,,70,1230,0,0,0,0,0
2024-01-04,Delta,N166XX,6952,DFW,CityName,State,DFW,CityName,State,0,0,0,0,0,,219,295,0,0,0,0,0
2024-01-09,Delta,N849XX,1149,ATL,CityName,State,ORD,CityName,State,15,1,10,1,0,,123,2063,0,0,0,0,15
2024-01-06,Southwest,N387XX,3255,SFO,CityName,State,JFK,CityName,State,0,0,0,0,0,,102,1846,0,0,0,0,0
2024-01-25,United,N797XX,2547,SFO,CityName,State,ORD,CityName,State,0,0,0,0,0,,209,1206,0,0,0,0,0
2024-01-25,American,N819XX,9129,SFO,CityName,State,SFO,CityName,State,0,0,0,0,0,,155,1039,0,0,0,0,0
2024-01-22,American,N766XX,3550,SFO,CityName,State,JFK,CityName,State,0,0,0,0,0,,184,858,0,0,0,0,0
2024-01-03,JetBlue,N752XX,7739,SFO,CityName,State,LAX,CityName,State,0,0,0,0,0,,165,1284,0,0,0,0,0
2024-01-30,American,N157XX,2903,ORD,CityName,State,JFK,CityName,State,0,0,0,0,0,,153,1272,0,0,0,0,0
2024-01-20,United,N649XX,6621,DFW,CityName,State,ORD,CityName,State,0,0,0,0,0,,135,1119,0,0,0,0,0
2024-01-16,Southwest,N806XX,9632,MIA,CityName,State,ORD,CityName,State,15,1,10,1,0,,163,615,0,0,15,0,0
2024-01-30,Delta,N125XX,8466,SFO,CityName,State,DFW,CityName,State,0,0,0,0,0,,193,1223,0,0,0,0,0
2024-01-03,Southwest,N515XX,1419,MIA,CityName,State,SFO,CityName,State,0,0,0,0,0,,229,1325,0,0,0,0,0
2024-01-11,Southwest,N258XX,8904,LAX,CityName,State,ATL,CityName,State,30,1,25,1,0,,133,466,0,0,30,0,0
2024-01-25,United,N377XX,738,DFW,CityName,State,SFO,CityName,State,0,0,0,0,0,,98,1364,0,0,0,0,0
2024-01-13,United,N744XX,6625,ATL,CityName,State,DFW,CityName,State,0,0,0,0,0,,73,1680,0,0,0,0,0
2024-01-03,Delta,N486XX,2764,ATL,CityName,State,ORD,CityName,State,30,1,25,1,0,,206,2185,30,0,0,0,0
2024-01-23,Delta,N877XX,4822,LAX,CityName,State,ORD,CityName,State,0,0,0,0,0,,242,563,0,0,0,0,0
2024-01-16,United,N886XX,7872,MIA,CityName,State,LAX,CityName,State,0,0,0,0,0,,262,269,0,0,0,0,0
2024-01-19,Delta,N944XX,8538,LAX,CityName,State,DFW,CityName,State,0,0,0,0,0,,190,518,0,0,0,0,0
2024-01-18,Delta,N298XX,9022,LAX,CityName,State,MIA,CityName,State,0,0,0,0,0,,153,1994,0,0,0,0,0
2024-01-12,United,N798XX,5528,LAX,CityName,State,JFK,CityName,State,0,0,0,0,0,,117,2353,0,0,0,0,0
2024-01-02,Southwest,N627XX,114,JFK,CityName,State,LAX,CityName,State,0,0,0,0,0,,106,1087,0,0,0,0,0
2024-01-12,Delta,N889XX,8915,DFW,CityName,State,MIA,CityName,State,0,0,0,0,0,,155,1994,0,0,0,0,0
2024-01-21,Delta,N516XX,6128,SFO,CityName,State,LAX,CityName,State,0,0,0,0,0,,93,2489,0,0,0,0,0
2024-01-08,United,N666XX,3728,ATL,CityName,State,LAX,CityName,State,0,0,0,0,0,,270,2410,0,0,0,0,0
2024-01-11,American,N174XX,8388,LAX,CityName,State,ATL,CityName,State,0,0,0,0,0,,114,1503,0,0,0,0,0
2024-01-16,Southwest,N602XX,9711,MIA,CityName,State,ORD,CityName,State,0,0,0,0,0,,261,943,0,0,0,0,0
2024-01-23,Delta,N565XX,8564,DFW,CityName,State,SFO,CityName,State,0,0,0,0,0,,74,587,0,0,0,0,0
2024-01-20,Southwest,N325XX,629,JFK,CityName,State,JFK,CityName,State,0,0,0,0,0,,230,405,0,0,0,0,0
2024-01-19,Delta,N205XX,4202,MIA,CityName,State,DFW,CityName,State,0,0,0,0,0,,143,2377,0,0,0,0,0
2024-01-28,United,N771XX,5485,DFW,CityName,State,ORD,CityName,State,0,0,0,0,0,,156,2287,0,0,0,0,0
2024-01-30,Southwest,N494XX,4182,LAX,CityName,State,SFO,CityName,State,0,0,0,0,0,,197,2361,0,0,0,0,0
2024-01-27,Southwest,N156XX,8878,ORD,CityName,State,SFO,CityName,State,15,1,10,1,0,,191,2443,0,15,0,0,0
2024-01-27,JetBlue,N396XX,5051,SFO,CityName,State,ORD,CityName,State,0,0,0,0,0,,121,856,0,0,0,0,0
2024-01-30,Southwest,N383XX,5140,LAX,CityName,State,ORD,CityName,State,0,0,0,0,0,,172,2099,0,0,0,0,0
2024-01-17,JetBlue,N241XX,5177,JFK,CityName,State,SFO,CityName,State,0,0,0,0,0,,180,1823,0,0,0,0,0
2024-01-26,JetBlue,N599XX,7247,DFW,CityName,State,ATL,CityName,State,30,1,25,1,0,,226,2004,0,30,0,0,0
2024-01-07,Delta,N439XX,8289,LAX,CityName,State,LAX,CityName,State,0,0,0,0,0,,210,321,0,0,0,0,0
2024-01-12,Southwest,N773XX,3917,DFW,CityName,State,ATL,CityName,State,0,0,0,0,0,,154,1391,0,0,0,0,0
2024-01-26,Delta,N973XX,4606,MIA,CityName,State,DFW,CityName,State,15,1,10,1,0,,156,1513,15,0,0,0,0
2024-01-15,American,N740XX,2887,ATL,CityName,State,ORD,CityName,State,0,0,0,0,0,,191,2199,0,0,0,0,0
2024-01-01,Southwest,N743XX,3296,ATL,CityName,State,LAX,CityName,State,0,0,0,0,0,,80,570,0,0,0,0,0
2024-01-14,Southwest,N123XX,2051,LAX,CityName,State,ORD,CityName,State,0,0,0,0,0,,232,346,0,0,0,0,0
2024-01-16,Delta,N702XX,5873,SFO,CityName,State,MIA,CityName,State,0,0,0,0,0,,140,2036,0,0,0,0,0
2024-01-01,American,N388XX,7060,ATL,CityName,State,JFK,CityName,State,0,0,0,0,1,A,259,285,0,0,0,0,0
2024-01-30,Delta,N305XX,2040,ORD,CityName,State,JFK,CityName,State,15,1,10,1,0,,287,1013,15,0,0,0,0
2024-01-08,Delta,N534XX,9420,ATL,CityName,State,JFK,CityName,State,0,0,0,0,0,,299,206,0,0,0,0,0
2024-01-30,American,N801XX,5686,ORD,CityName,State,JFK,CityName,State,0,0,0,0,0,,172,1245,0,0,0,0,0
2024-01-28,American,N989XX,2266,JFK,CityName,State,MIA,CityName,State,0,0,0,0,0,,101,1206,0,0,0,0,0
2024-01-05,Southwest,N603XX,4063,JFK,CityName,State,ORD,CityName,State,0,0,0,0,0,,206,1285,0,0,0,0,0
2024-01-02,United,N435XX,6973,ORD,CityName,State,DFW,CityName,State,0,0,0,0,0,,107,663,0,0,0,0,0
